ID;book_ID;tag_ID
026485a2-8782-4450-b0bb-27b0acd04042;922a3416-4925-4b80-9753-ddb37978a6b4;550e8400-e29b-41d4-a716-446655440004
05e0874d-4366-44e2-b243-2f6ab1c793e5;69c55a9b-1132-41d8-b762-3cc72615660c;550e8400-e29b-41d4-a716-446655440004
0d181f53-6397-4781-949b-4895265a1a9c;0da92436-3cd7-4cae-b3e8-ac54752cf26c;550e8400-e29b-41d4-a716-446655440002
196704fa-687a-469c-bf37-19faa2df7ab0;2cffee8a-ba0a-496e-813d-56e8dc154f05;550e8400-e29b-41d4-a716-446655440001
23c891d1-0450-45d9-ace9-7f9c39b3f8cf;805ffe70-cb4c-41f6-9412-04dca4861157;550e8400-e29b-41d4-a716-446655440007
2c492ee4-c528-420e-87f8-2bd153467ec9;0c2b45a3-2912-43ef-b001-215256dd794f;550e8400-e29b-41d4-a716-446655440006
33258b27-6da1-4522-8b70-0a186f0f0f96;84e0685a-7c92-4d03-86e8-9fce23fc20e4;550e8400-e29b-41d4-a716-446655440002
44fef185-2ab5-490f-9bc5-3d6df3f84e55;14e361fa-7111-4275-9365-f00bcc82c5b9;550e8400-e29b-41d4-a716-446655440002
4fc9c874-afc5-4404-ac5f-fc1b716b5795;50965173-194a-4f27-a004-2401c3d3df2e;550e8400-e29b-41d4-a716-446655440002
58a263c1-48d9-4fd2-8925-67ac2fcd30e4;288c74ba-3ac0-4eba-b05a-71a2410eab4c;550e8400-e29b-41d4-a716-446655440004
6578d528-eb1f-486e-8bbc-ca9b7c7d8ea6;1b3ea8e0-2aa0-4aad-8e45-ac9c944ecf05;550e8400-e29b-41d4-a716-446655440002
69bb60bd-69c2-4ca6-ab07-5de2e14dbcfd;3db6dce7-57fc-46ab-be55-16554868f434;550e8400-e29b-41d4-a716-446655440002
73188d60-deaf-44d4-b1d9-f9eabeb52e25;1b3ea8e0-2aa0-4aad-8e45-ac9c944ecf05;550e8400-e29b-41d4-a716-446655440001
7ab343eb-9500-47ca-aafd-db48f094fc23;0c2b45a3-2912-43ef-b001-215256dd794f;550e8400-e29b-41d4-a716-446655440007
80b93964-98d6-4f1a-8d2f-e0a3bcf7a6b3;de82c8f7-1db2-4914-9ac6-863228bc2ec6;550e8400-e29b-41d4-a716-446655440001
880ef94d-a43d-4c75-9a1f-57c6c499982b;2062152d-8c4d-4126-8d47-4d80d9ff00fc;550e8400-e29b-41d4-a716-446655440002
8ee37361-0b3c-40ca-8b39-9fac4b814bc5;0c2b45a3-2912-43ef-b001-215256dd794f;550e8400-e29b-41d4-a716-446655440002
92732f26-5e48-4d7b-b97a-312d9b1392dc;922a3416-4925-4b80-9753-ddb37978a6b4;550e8400-e29b-41d4-a716-446655440002
9a1716ef-a9ba-4814-b5af-1c3908795180;2062152d-8c4d-4126-8d47-4d80d9ff00fc;550e8400-e29b-41d4-a716-446655440004
9b39bb0a-2dae-41ff-a899-e2e6d181b4df;54b1d210-0372-4070-9c25-8cb0e953eadc;550e8400-e29b-41d4-a716-446655440004
a1000000-0000-0000-0000-000000000001;b4382af7-cb0e-4994-bfdb-cfa566086590;550e8400-e29b-41d4-a716-446655440001
a1000000-0000-0000-0000-000000000002;b4382af7-cb0e-4994-bfdb-cfa566086590;550e8400-e29b-41d4-a716-446655440003
